ID	Entrez_Gene_ID	SeqId	SomaId	Target_Name	Target_Full_Name	UniProt_ID	Type	Organism	Entrez_Gene_Name	Ensembl_Gene_ID	HGNC_ID	feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	TSS	gene_start	gene_end	strand	name	symbol	feature_interval_length	attributes	gene_protein_coding	multi_mappers	manual_curation	database
7551-33_Entrez-ID_2615	2615	7551-33	SL016455	LRC32	Leucine-rich repeat-containing protein 32	Q14392	Protein	Human	LRRC32	ENSG00000137507	HGNC:4161	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	76381791	76368568	76381791	-	leucine rich repeat containing 32	LRRC32	13223		yes	no	no	NCBI
21351-8_Entrez-ID_2617	2617	21351-8	SL001910	Glycyl t-RNA synthetase	Glycyl t-RNA synthetase	P41250	Protein	Human	GARS1	ENSG00000106105	HGNC:4162	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	7	NC_000007.13	30634351	30634351	30673649	+	glycyl-tRNA synthetase 1	GARS1	39298		yes	no	no	NCBI
23387-18_Entrez-ID_261726	261726	23387-18	SL023264	TIPRL	TIP41-like protein	O75663	Protein	Human	TIPRL	ENSG00000143155	HGNC:30231	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	168148200	168148200	168171347	+	TOR signaling pathway regulator	TIPRL	23147		yes	no	no	NCBI
5463-22_Entrez-ID_2619	2619	5463-22	SL000658	GAS1	Growth arrest-specific protein 1	P54826	Protein	Human	GAS1	ENSG00000180447	HGNC:4165	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	9	NC_000009.11	89562421	89559277	89562421	-	growth arrest specific 1	GAS1	3144		yes	no	no	NCBI
23394-125_Entrez-ID_2620	2620	23394-125	SL023440	GAS2	Growth arrest-specific protein 2	O43903	Protein	Human	GAS2	ENSG00000148935	HGNC:4167	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	22688122	22688122	22834601	+	growth arrest specific 2	GAS2	146479		yes	no	no	NCBI
12804-5_Entrez-ID_26205	26205	12804-5	SL019919	GMEB2	Glucocorticoid modulatory element-binding protein 2	Q9UKD1	Protein	Human	GMEB2	ENSG00000101216	HGNC:4371	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	20	NC_000020.10	62258454	62218958	62258454	-	glucocorticoid modulatory element binding protein 2	GMEB2	39496		yes	no	no	NCBI
15391-114_Entrez-ID_2621	2621	15391-114	SL005707	GAS-6	Growth arrest-specific protein 6	Q14393	Protein	Human	GAS6	ENSG00000183087	HGNC:4168	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	13	NC_000013.10	114567049	114523522	114567049	-	growth arrest specific 6	GAS6	43527		yes	no	no	NCBI
18414-26_Entrez-ID_26225	26225	18414-26	SL021357	ARL5A	ADP-ribosylation factor-like protein 5A	Q9Y689	Protein	Human	ARL5A	ENSG00000162980	HGNC:696	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	152684935	152655311	152684935	-	ADP ribosylation factor like GTPase 5A	ARL5A	29624		yes	no	no	NCBI
15548-35_Entrez-ID_26227	26227	15548-35	SL018791	SERA	D-3-phosphoglycerate dehydrogenase	O43175	Protein	Human	PHGDH	ENSG00000092621	HGNC:8923	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	120254557	120254557	120286838	+	phosphoglycerate dehydrogenase	PHGDH	32281		yes	no	no	NCBI
8986-2_Entrez-ID_26227	26227	8986-2	SL018791	SERA	D-3-phosphoglycerate dehydrogenase	O43175	Protein	Human	PHGDH	ENSG00000092621	HGNC:8923	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	120254557	120254557	120286838	+	phosphoglycerate dehydrogenase	PHGDH	32281		yes	no	no	NCBI
12510-3_Entrez-ID_26228	26228	12510-3	SL019742	STAP1	Signal-transducing adaptor protein 1	Q9ULZ2	Protein	Human	STAP1	ENSG00000035720	HGNC:24133	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	4	NC_000004.11	68424445	68424445	68473055	+	signal transducing adaptor family member 1	STAP1	48610		yes	no	no	NCBI
6897-38_Entrez-ID_26229	26229	6897-38	SL017973	B3GA3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	O94766	Protein	Human	B3GAT3	ENSG00000149541	HGNC:923	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	62389458	62382768	62389458	-	beta-1,3-glucuronyltransferase 3	B3GAT3	6690		yes	no	no	NCBI
24968-10_Entrez-ID_26230	26230	24968-10	SL023580	TIAM2	T-lymphoma invasion and metastasis-inducing protein 2	Q8IVF5	Protein	Human	TIAM2	ENSG00000146426	HGNC:11806	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	6	NC_000006.11	155316449	155316449	155578857	+	TIAM Rac1 associated GEF 2	TIAM2	262408		yes	no	no	NCBI
12846-3_Entrez-ID_26234	26234	12846-3	SL019936	FBXL5	F-box/LRR-repeat protein 5	Q9UKA1	Protein	Human	FBXL5	ENSG00000118564	HGNC:13602	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	4	NC_000004.11	15656980	15606004	15656980	-	F-box and leucine rich repeat protein 5	FBXL5	50976		yes	no	no	NCBI
9951-36_Entrez-ID_26235	26235	9951-36	SL025856	FBXL4:LRR2 and LRR3	F-box/LRR-repeat protein 4:Leucine-rich repeats 2 and 3	Q9UKA2	Protein	Human	FBXL4	ENSG00000112234	HGNC:13601	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	6	NC_000006.11	99395822	99316411	99395822	-	F-box and leucine rich repeat protein 4	FBXL4	79411		yes	no	no	NCBI
11416-23_Entrez-ID_26235	26235	11416-23	SL025857	FBXL4:LRR4 and LRR5	F-box/LRR-repeat protein 4:Leucine-rich repeats 4 and 5	Q9UKA2	Protein	Human	FBXL4	ENSG00000112234	HGNC:13601	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	6	NC_000006.11	99395822	99316411	99395822	-	F-box and leucine rich repeat protein 4	FBXL4	79411		yes	no	no	NCBI
25039-10_Entrez-ID_26249	26249	25039-10	SL015309	KLHL3	Kelch-like protein 3	Q9UH77	Protein	Human	KLHL3	ENSG00000146021	HGNC:6354	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	137071778	136953189	137071778	-	kelch like family member 3	KLHL3	118589		yes	no	no	NCBI
15430-165_Entrez-ID_26254	26254	15430-165	SL012859	OPT	Opticin	Q9UBM4	Protein	Human	OPTC	ENSG00000188770	HGNC:8158	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	203463281	203463281	203478077	+	opticin	OPTC	14796		yes	no	no	NCBI
21487-20_Entrez-ID_26258	26258	21487-20	SL021966	BL1S6	Biogenesis of lysosome-related organelles complex 1 subunit 6	Q9UL45	Protein	Human	BLOC1S6	ENSG00000104164	HGNC:8549	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	15	NC_000015.9	45879321	45879321	45901914	+	biogenesis of lysosomal organelles complex 1 subunit 6	BLOC1S6	22593		yes	no	no	NCBI
14628-72_Entrez-ID_26273	26273	14628-72	SL020051	FBX3	F-box only protein 3	Q9UK99	Protein	Human	FBXO3	ENSG00000110429	HGNC:13582	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	33796066	33762490	33796066	-	F-box protein 3	FBXO3	33576		yes	no	no	NCBI
12396-19_Entrez-ID_26275	26275	12396-19	SL006368	HIBCH	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	Q6NVY1	Protein	Human	HIBCH	ENSG00000198130	HGNC:4908	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	191184552	191068646	191184552	-	3-hydroxyisobutyryl-CoA hydrolase	HIBCH	115906		yes	no	no	NCBI
16298-84_Entrez-ID_26279	26279	16298-84	SL003840	sPLA(2)-IID	Group IID secretory phospholipase A2	Q9UNK4	Protein	Human	PLA2G2D	ENSG00000117215	HGNC:9033	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	20446029	20438432	20446029	-	phospholipase A2 group IID	PLA2G2D	7597		yes	no	no	NCBI
18188-12_Entrez-ID_2628	2628	18188-12	SL008715	GATM	Glycine amidinotransferase, mitochondrial	P50440	Protein	Human	GATM	ENSG00000171766	HGNC:4175	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	15	NC_000015.9	45694425	45653322	45694425	-	glycine amidinotransferase	GATM	41103		yes	no	no	NCBI
5082-51_Entrez-ID_26280	26280	5082-51	SL004849	IL-1 sR9	X-linked interleukin-1 receptor accessory protein-like 2	Q9NP60	Protein	Human	IL1RAPL2	ENSG00000189108	HGNC:5997	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	103810880	103810880	105011822	+	interleukin 1 receptor accessory protein like 2	IL1RAPL2	1200942		yes	yes	no	NCBI
2763-66_Entrez-ID_26281	26281	2763-66	SL004338	FGF-20	Fibroblast growth factor 20	Q9NP95	Protein	Human	FGF20	ENSG00000078579	HGNC:3677	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	8	NC_000008.10	16859854	16849690	16859854	-	fibroblast growth factor 20	FGF20	10164		yes	no	no	NCBI
25274-2_Entrez-ID_26287	26287	25274-2	SL021521	ANKR2	Ankyrin repeat domain-containing protein 2	Q9GZV1	Protein	Human	ANKRD2	ENSG00000165887	HGNC:495	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	10	NC_000010.10	99332198	99332198	99343641	+	ankyrin repeat domain 2	ANKRD2	11443		yes	no	no	NCBI
13613-23_Entrez-ID_26289	26289	13613-23	SL005741	Adenylate kinase isoenzyme 5	Adenylate kinase isoenzyme 5	Q9Y6K8	Protein	Human	AK5	ENSG00000154027	HGNC:365	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	77747704	77747704	78025651	+	adenylate kinase 5	AK5	277947		yes	no	no	NCBI
19250-50_Entrez-ID_26292	26292	19250-50	SL009443	MYCBP	C-Myc-binding protein	Q99417	Protein	Human	MYCBP	ENSG00000214114	HGNC:7554	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	39339050	39328162	39339050	-	MYC binding protein	MYCBP	10888		yes	no	no	NCBI
13387-55_Entrez-ID_26298	26298	13387-55	SL015293	EHF	ETS homologous factor	Q9NZC4	Protein	Human	EHF	ENSG00000135373	HGNC:3246	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	34642640	34642640	34684835	+	ETS homologous factor	EHF	42195		yes	no	no	NCBI
15326-64_Entrez-ID_2633	2633	15326-64	SL006479	GBP1	Guanylate-binding protein 1	P32455	Protein	Human	GBP1	ENSG00000117228	HGNC:4182	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	89530891	89518002	89530891	-	guanylate binding protein 1	GBP1	12889		yes	no	no	NCBI
8004-15_Entrez-ID_26330	26330	8004-15	SL009421	G3PT	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	O14556	Protein	Human	GAPDHS	ENSG00000105679	HGNC:24864	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	19	NC_000019.9	36024358	36024358	36036221	+	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	GAPDHS	11863		yes	no	no	NCBI
18891-98_Entrez-ID_2634	2634	18891-98	SL014773	GBP2	Guanylate-binding protein 2	P32456	Protein	Human	GBP2	ENSG00000162645	HGNC:4183	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	89591797	89571815	89591797	-	guanylate binding protein 2	GBP2	19982		yes	no	no	NCBI
6531-29_Entrez-ID_26355	26355	6531-29	SL015128	F162A	Protein FAM162A	Q96A26	Protein	Human	FAM162A	ENSG00000114023	HGNC:17865	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	3	NC_000003.11	122103029	122103029	122131181	+	family with sequence similarity 162 member A	FAM162A	28152		yes	no	no	NCBI
15589-1_Entrez-ID_2638	2638	15589-1	SL000431	Gc-Globulin, Mixed Type	Vitamin D-binding protein	P02774	Protein	Human	GC	ENSG00000145321	HGNC:4187	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	4	NC_000004.11	72671237	72607410	72671237	-	GC vitamin D binding protein	GC	63827		yes	no	no	NCBI
19258-24_Entrez-ID_2639	2639	19258-24	SL015122	GCDH	Glutaryl-CoA dehydrogenase, mitochondrial	Q92947	Protein	Human	GCDH	ENSG00000105607	HGNC:4189	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	19	NC_000019.9	13001943	13001943	13010813	+	glutaryl-CoA dehydrogenase	GCDH	8870		yes	no	no	NCBI
4891-50_Entrez-ID_2641	2641	4891-50	SL000433	Glucagon	Glucagon	P01275	Protein	Human	GCG	ENSG00000115263	HGNC:4191	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	163008757	162999392	163008757	-	glucagon	GCG	9365		yes	no	no	NCBI
11185-145_Entrez-ID_2643	2643	11185-145	SL019341	GCH1	GTP cyclohydrolase 1	P30793	Protein	Human	GCH1	ENSG00000131979	HGNC:4193	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	14	NC_000014.8	55369544	55308735	55369544	-	GTP cyclohydrolase 1	GCH1	60809		yes	no	no	NCBI
21118-48_Entrez-ID_2644	2644	21118-48	SL005349	GFRP	GTP cyclohydrolase I feedback regulatory protein	P30047	Protein	Human	GCHFR	ENSG00000137880	HGNC:4194	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	15	NC_000015.9	41056266	41056266	41059906	+	GTP cyclohydrolase I feedback regulator	GCHFR	3640		yes	no	no	NCBI
12960-9_Entrez-ID_2645	2645	12960-9	SL007208	HXK4	Glucokinase	P35557	Protein	Human	GCK	ENSG00000106633	HGNC:4195	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	7	NC_000007.13	44229038	44182812	44229038	-	glucokinase	GCK	46226		yes	no	no	NCBI
5223-59_Entrez-ID_2646	2646	5223-59	SL015728	GCKR	Glucokinase regulatory protein	Q14397	Protein	Human	GCKR	ENSG00000084734	HGNC:4196	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	27719706	27719706	27746551	+	glucokinase regulator	GCKR	26845		yes	no	no	NCBI
23246-67_Entrez-ID_2647	2647	23246-67	SL023265	BL1S1	Biogenesis of lysosome-related organelles complex 1 subunit 1	P78537	Protein	Human	BLOC1S1	ENSG00000135441	HGNC:4200	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	12	NC_000012.11	56109830	56109830	56113487	+	biogenesis of lysosomal organelles complex 1 subunit 1	BLOC1S1	3657		yes	no	no	NCBI
3867-49_Entrez-ID_26470	26470	3867-49	SL011630	SE6L2	Seizure 6-like protein 2	Q6UXD5	Protein	Human	SEZ6L2	ENSG00000174938	HGNC:30844	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	16	NC_000016.9	29910871	29882480	29910871	-	seizure related 6 homolog like 2	SEZ6L2	28391		yes	no	no	NCBI
19369-17_Entrez-ID_2648	2648	19369-17	SL007580	GCNL2	Histone acetyltransferase KAT2A	Q92830	Protein	Human	KAT2A	ENSG00000108773	HGNC:4201	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	17	NC_000017.10	40273385	40265129	40273385	-	lysine acetyltransferase 2A	KAT2A	8256		yes	yes	no	NCBI
19797-4_Entrez-ID_2648	2648	19797-4	SL007580	GCNL2	Histone acetyltransferase KAT2A	Q92830	Protein	Human	KAT2A	ENSG00000108773	HGNC:4201	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	17	NC_000017.10	40273385	40265129	40273385	-	lysine acetyltransferase 2A	KAT2A	8256		yes	yes	no	NCBI
7016-12_Entrez-ID_2650	2650	7016-12	SL017969	GCNT1	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	Q02742	Protein	Human	GCNT1	ENSG00000187210	HGNC:4203	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	9	NC_000009.11	79056582	79056582	79122332	+	glucosaminyl (N-acetyl) transferase 1	GCNT1	65750		yes	no	no	NCBI
24321-67_Entrez-ID_26502	26502	24321-67	SL023698	NARF	Nuclear prelamin A recognition factor	Q9UHQ1	Protein	Human	NARF	ENSG00000141562	HGNC:29916	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	17	NC_000017.10	80416074	80416074	80448413	+	nuclear prelamin A recognition factor	NARF	32339		yes	no	no	NCBI
23241-27_Entrez-ID_26515	26515	23241-27	SL023343	T10B	Mitochondrial import inner membrane translocase subunit Tim10 B	Q9Y5J6	Protein	Human	TIMM10B	ENSG00000132286	HGNC:4022	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	6502731	6502731	6505911	+	translocase of inner mitochondrial membrane 10B	TIMM10B	3180		yes	no	no	NCBI
23621-326_Entrez-ID_26517	26517	23621-326	SL023325	TIM13	Mitochondrial import inner membrane translocase subunit Tim13	Q9Y5L4	Protein	Human	TIMM13	ENSG00000099800	HGNC:11816	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	19	NC_000019.9	2427584	2425623	2427584	-	translocase of inner mitochondrial membrane 13	TIMM13	1961		yes	no	no	NCBI
25215-1_Entrez-ID_26519	26519	25215-1	SL023225	TIM10	Mitochondrial import inner membrane translocase subunit Tim10	P62072	Protein	Human	TIMM10	ENSG00000134809	HGNC:11814	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	11	NC_000011.9	57298227	57295937	57298227	-	translocase of inner mitochondrial membrane 10	TIMM10	2290		yes	no	no	NCBI
15312-14_Entrez-ID_26523	26523	15312-14	SL019555	AGO1	Protein argonaute-1	Q9UL18	Protein	Human	AGO1	ENSG00000092847	HGNC:3262	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	36335362	36335362	36396133	+	argonaute RISC component 1	AGO1	60771		yes	no	no	NCBI
11651-24_Entrez-ID_26523	26523	11651-24	SL019555	AGO1	Protein argonaute-1	Q9UL18	Protein	Human	AGO1	ENSG00000092847	HGNC:3262	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	1	NC_000001.10	36335362	36335362	36396133	+	argonaute RISC component 1	AGO1	60771		yes	no	no	NCBI
18375-28_Entrez-ID_26525	26525	18375-28	SL005176	IL-1F5	Interleukin-36 receptor antagonist protein	Q9UBH0	Protein	Human	IL36RN	ENSG00000136695	HGNC:15561	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	113816215	113816215	113822321	+	interleukin 36 receptor antagonist	IL36RN	6106		yes	no	no	NCBI
23401-3_Entrez-ID_26528	26528	23401-3	SL013237	DAZP1	DAZ-associated protein 1	Q96EP5	Protein	Human	DAZAP1	ENSG00000071626	HGNC:2683	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	19	NC_000019.9	1407585	1407585	1435683	+	DAZ associated protein 1	DAZAP1	28098		yes	no	no	NCBI
21985-61_Entrez-ID_26548	26548	21985-61	SL019592	ITBP2	Integrin beta-1-binding protein 2	Q9UKP3	Protein	Human	ITGB1BP2	ENSG00000147166	HGNC:6154	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	70521600	70521600	70525221	+	integrin subunit beta 1 binding protein 2	ITGB1BP2	3621		yes	no	no	NCBI
6081-52_Entrez-ID_26577	26577	6081-52	SL008377	PCOC2	Procollagen C-endopeptidase enhancer 2	Q9UKZ9	Protein	Human	PCOLCE2	ENSG00000163710	HGNC:8739	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	3	NC_000003.11	142607925	142536716	142607925	-	procollagen C-endopeptidase enhancer 2	PCOLCE2	71209		yes	no	no	NCBI
19118-47_Entrez-ID_26578	26578	19118-47	SL013229	OSTF1	Osteoclast-stimulating factor 1	Q92882	Protein	Human	OSTF1	ENSG00000134996	HGNC:8510	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	9	NC_000009.11	77703430	77703430	77762181	+	osteoclast stimulating factor 1	OSTF1	58751		yes	no	no	NCBI
4880-21_Entrez-ID_2658	2658	4880-21	SL007756	GDF2	Growth/differentiation factor 2	Q9UK05	Protein	Human	GDF2	ENSG00000263761	HGNC:4217	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	10	NC_000010.10	48416908	48411774	48416908	-	growth differentiation factor 2	GDF2	5134		yes	yes	no	NCBI
5345-51_Entrez-ID_26586	26586	5345-51	SL006675	CKAP2	Cytoskeleton-associated protein 2	Q8WWK9	Protein	Human	CKAP2	ENSG00000136108	HGNC:1990	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	13	NC_000013.10	53029613	53029613	53050762	+	cytoskeleton associated protein 2	CKAP2	21149		yes	no	no	NCBI
14583-49_Entrez-ID_2660	2660	14583-49	SL004357	Myostatin	Growth/differentiation factor 8	O14793	Protein	Human	MSTN	ENSG00000138379	HGNC:4223	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	190927455	190920426	190927455	-	myostatin	MSTN	7029		yes	no	no	NCBI
12077-32_Entrez-ID_2660	2660	12077-32	SL004357	Myostatin	Growth/differentiation factor 8	O14793	Protein	Human	MSTN	ENSG00000138379	HGNC:4223	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	190927455	190920426	190927455	-	myostatin	MSTN	7029		yes	no	no	NCBI
11227-31_Entrez-ID_26608	26608	11227-31	SL019356	TBL2	Transducin beta-like protein 2	Q9Y4P3	Protein	Human	TBL2	ENSG00000106638	HGNC:11586	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	7	NC_000007.13	72992909	72981867	72992909	-	transducin beta like 2	TBL2	11042		yes	yes	no	NCBI
23426-1_Entrez-ID_26609	26609	23426-1	SL023724	VCX1	Variable charge X-linked protein 1	Q9H320	Protein	Human	VCX	ENSG00000182583	HGNC:12667	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	7810303	7810303	7812184	+	variable charge X-linked	VCX	1881		yes	no	no	NCBI
3067-67_Entrez-ID_2661	2661	3067-67	SL005234	GDF-9	Growth/differentiation factor 9	O60383	Protein	Human	GDF9	ENSG00000164404	HGNC:4224	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	132202343	132196877	132202343	-	growth differentiation factor 9	GDF9	5466		yes	no	no	NCBI
16749-79_Entrez-ID_2662	2662	16749-79	SL005151	BMP-3b	Growth/differentiation factor 10	P55107	Protein	Human	GDF10	ENSG00000266524	HGNC:4215	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	10	NC_000010.10	48439165	48425785	48439165	-	growth differentiation factor 10	GDF10	13380		yes	yes	no	NCBI
6517-14_Entrez-ID_2662	2662	6517-14	SL005151	BMP-3b	Growth/differentiation factor 10	P55107	Protein	Human	GDF10	ENSG00000266524	HGNC:4215	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	10	NC_000010.10	48439165	48425785	48439165	-	growth differentiation factor 10	GDF10	13380		yes	yes	no	NCBI
23022-5_Entrez-ID_2664	2664	23022-5	SL002794	RhoGDI	Rab GDP dissociation inhibitor alpha	P31150	Protein	Human	GDI1	ENSG00000203879	HGNC:4226	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	153665500	153665500	153671814	+	GDP dissociation inhibitor 1	GDI1	6314		yes	yes	no	NCBI
16810-3_Entrez-ID_2664	2664	16810-3	SL002794	RhoGDI	Rab GDP dissociation inhibitor alpha	P31150	Protein	Human	GDI1	ENSG00000203879	HGNC:4226	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	X	NC_000023.10	153665500	153665500	153671814	+	GDP dissociation inhibitor 1	GDI1	6314		yes	yes	no	NCBI
2647-66_Entrez-ID_2665	2665	2647-66	SL003648	Rab GDP dissociation inhibitor beta	Rab GDP dissociation inhibitor beta	P50395	Protein	Human	GDI2	ENSG00000057608	HGNC:4227	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	10	NC_000010.10	5855397	5807186	5855397	-	GDP dissociation inhibitor 2	GDI2	48211		yes	no	no	NCBI
18896-23_Entrez-ID_266722	266722	18896-23	SL021212	H6ST3	Heparan-sulfate 6-O-sulfotransferase 3	Q8IZP7	Protein	Human	HS6ST3	ENSG00000185352	HGNC:19134	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	13	NC_000013.10	96742361	96742361	97491816	+	heparan sulfate 6-O-sulfotransferase 3	HS6ST3	749455		yes	no	no	NCBI
16900-29_Entrez-ID_266727	266727	16900-29	SL012713	MDGA1	MAM domain-containing glycosylphosphatidylinositol anchor protein 1	Q8NFP4	Protein	Human	MDGA1	ENSG00000112139	HGNC:19267	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	6	NC_000006.11	37665659	37598455	37665659	-	MAM domain containing glycosylphosphatidylinositol anchor 1	MDGA1	67204		yes	no	no	NCBI
5822-22_Entrez-ID_2668	2668	5822-22	SL004248	GDNF	Glial cell line-derived neurotrophic factor	P39905	Protein	Human	GDNF	ENSG00000168621	HGNC:4232	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	5	NC_000005.9	37840143	37812779	37840143	-	glial cell derived neurotrophic factor	GDNF	27364		yes	no	no	NCBI
12817-1_Entrez-ID_2669	2669	12817-1	SL019954	GEM	GTP-binding protein GEM	P55040	Protein	Human	GEM	ENSG00000164949	HGNC:4234	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	8	NC_000008.10	95274547	95261481	95274547	-	GTP binding protein overexpressed in skeletal muscle	GEM	13066		yes	no	no	NCBI
11243-90_Entrez-ID_266977	266977	11243-90	SL019357	GPR110	Adhesion G-protein coupled receptor F1	Q5T601	Protein	Human	ADGRF1	ENSG00000153292	HGNC:18990	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	6	NC_000006.11	47010068	46965445	47010068	-	adhesion G protein-coupled receptor F1	ADGRF1	44623		yes	no	no	NCBI
20126-19_Entrez-ID_2670	2670	20126-19	SL004271	GFAP	Glial fibrillary acidic protein	P14136	Protein	Human	GFAP	ENSG00000131095	HGNC:4235	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	17	NC_000017.10	42992868	42980527	42992868	-	glial fibrillary acidic protein	GFAP	12341		yes	no	no	NCBI
3034-1_Entrez-ID_2670	2670	3034-1	SL004271	GFAP	Glial fibrillary acidic protein	P14136	Protein	Human	GFAP	ENSG00000131095	HGNC:4235	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	17	NC_000017.10	42992868	42980527	42992868	-	glial fibrillary acidic protein	GFAP	12341		yes	no	no	NCBI
21126-27_Entrez-ID_2673	2673	21126-27	SL022050	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	Q06210	Protein	Human	GFPT1	ENSG00000198380	HGNC:4241	gene	protein_coding	GCF_000001405.25	Primary Assembly	chromosome	2	NC_000002.11	69614359	69546912	69614359	-	glutamine--fructose-6-phosphate transaminase 1	GFPT1	67447		yes	no	no	NCBI
